titulo,precio,precio_clp,comuna,link
Ronda Santo Domingo,"$384,746 CLP",384746,Las Condes,https://portalinmobiliario.com/MLC-1520106363-ronda-santo-domingo-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=9dbe8bea-d1e1-4981-aa49-4a7c4581f8b6
Spot Residence Manquehue,"19 UF (≈ $693,500 CLP)",693500,Las Condes,https://portalinmobiliario.com/MLC-2855682432-spot-residence-manquehue-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=9dbe8bea-d1e1-4981-aa49-4a7c4581f8b6
Boldo Club De Campo,"21 UF (≈ $766,500 CLP)",766500,Las Condes,https://portalinmobiliario.com/MLC-1555758653-boldo-club-de-campo-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=9dbe8bea-d1e1-4981-aa49-4a7c4581f8b6
Spot Nueva Kennedy,"19 UF (≈ $693,500 CLP)",693500,Las Condes,https://portalinmobiliario.com/MLC-1555797337-spot-nueva-kennedy-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=9dbe8bea-d1e1-4981-aa49-4a7c4581f8b6
Imu San Cristóbal,"13 UF (≈ $474,500 CLP)",474500,Las Condes,https://portalinmobiliario.com/MLC-1555772123-imu-san-cristobal-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=9dbe8bea-d1e1-4981-aa49-4a7c4581f8b6
Nativo Riesco,"22 UF (≈ $803,000 CLP)",803000,Las Condes,https://portalinmobiliario.com/MLC-2860700808-nativo-riesco-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=9dbe8bea-d1e1-4981-aa49-4a7c4581f8b6
Nomad Holley,"19 UF (≈ $693,500 CLP)",693500,Las Condes,https://portalinmobiliario.com/MLC-2910310870-nomad-holley-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=9dbe8bea-d1e1-4981-aa49-4a7c4581f8b6
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"$532,440 CLP",532440,Las Condes,https://portalinmobiliario.com/MLC-1499556701-somma-parque-bustamante-metro-irarrazaval-nunoa-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=9dbe8bea-d1e1-4981-aa49-4a7c4581f8b6
Lofty,"$515,000 CLP",515000,Las Condes,https://portalinmobiliario.com/MLC-1487468033-lofty-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=9dbe8bea-d1e1-4981-aa49-4a7c4581f8b6
Casa El Roble,"$345,000 CLP",345000,Las Condes,https://portalinmobiliario.com/MLC-2425556708-casa-el-roble-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=9dbe8bea-d1e1-4981-aa49-4a7c4581f8b6
